Gene	trt1	trt2	trt3	trt4	ctl1	ctl2	ctl3	ctl4
Zm00001eb000010	283	191	166	197	308	268	114	248
Zm00001eb000020	264	190	199	155	302	174	208	256
Zm00001eb000050	0	0	0	0	0	0	0	0
Zm00001eb000060	267	446	317	364	342	364	368	360
Zm00001eb000070	0	4	0	0	0	0	0	0
Zm00001eb000080	371	427	379	456	307	183	300	278
Zm00001eb000100	0	0	0	0	0	0	0	0
Zm00001eb000110	0	0	0	0	0	0	0	0
Zm00001eb000120	0	0	0	0	0	0	0	0
Zm00001eb000140	0	0	0	0	0	0	0	0
Zm00001eb000150	0	2	0	0	0	0	0	2
Zm00001eb000170	262	388	250	267	337	304	285	320
Zm00001eb000180	0	0	0	0	0	0	0	0
Zm00001eb000190	343	487	417	393	505	296	258	381
Zm00001eb000200	0	0	0	0	0	0	0	0
Zm00001eb000210	517	543	418	372	592	396	353	356
Zm00001eb000220	485	494	432	399	789	730	460	431
Zm00001eb000230	376	507	473	527	659	509	401	526
Zm00001eb000240	23	42	27	15	26	17	67	56
Zm00001eb000250	7	2	0	1	5	1	18	3
Zm00001eb000270	91	36	18	25	63	19	28	94
Zm00001eb000290	0	0	0	0	0	0	0	0
Zm00001eb000300	73	58	93	60	65	29	42	65
Zm00001eb000310	62	91	59	46	52	65	41	44
Zm00001eb000320	1590	1888	1394	1795	1780	1384	1571	1562
Zm00001eb000330	165	131	123	110	153	141	96	107
Zm00001eb000340	1698	1725	1689	1355	1830	1137	1214	1870
Zm00001eb000360	0	0	0	0	0	0	0	0
Zm00001eb000370	48	69	29	19	582	303	162	155
Zm00001eb000380	0	0	0	0	0	0	0	0
Zm00001eb000390	0	0	0	0	0	0	0	0
Zm00001eb000400	0	0	5	7	9	5	8	9
Zm00001eb000410	0	0	6	0	5	0	0	3
Zm00001eb000420	327	340	319	372	912	545	452	408
Zm00001eb000430	0	0	0	0	0	0	9	0
Zm00001eb000440	0	0	0	0	0	3	0	0
Zm00001eb000450	38	70	30	28	612	298	193	182
Zm00001eb000460	0	0	0	0	0	0	0	0
Zm00001eb000470	0	0	0	0	0	0	0	0
Zm00001eb000480	16659	18084	16189	15819	22234	17283	18066	18295
Zm00001eb000490	44	51	42	16	34	35	24	22
Zm00001eb000500	74	59	90	89	85	51	59	66
Zm00001eb000510	211	156	192	152	232	171	166	231
Zm00001eb000520	1109	1388	1260	1315	1389	1120	1230	1247
Zm00001eb000530	0	0	0	0	0	0	0	0
Zm00001eb000540	29	9	6	0	29	8	4	2
Zm00001eb000550	227	263	295	327	607	302	367	316
Zm00001eb000560	0	0	0	0	0	0	0	0
Zm00001eb000570	0	27	28	2	2	0	8	0
Zm00001eb000580	0	0	0	0	0	0	0	0
Zm00001eb000590	1510	1635	1298	1416	2057	1354	1050	1589
Zm00001eb000600	11	8	10	0	7	39	18	19
Zm00001eb000620	967	890	766	733	1304	787	629	719
Zm00001eb000630	0	0	0	0	0	0	0	0
Zm00001eb000640	114	190	115	114	141	144	144	126
Zm00001eb000650	87	78	68	98	69	82	119	41
Zm00001eb000660	0	0	0	0	0	0	0	0
Zm00001eb000670	415	540	377	426	496	265	378	327
Zm00001eb000680	182	160	162	208	126	170	129	221
Zm00001eb000690	289	289	255	353	231	197	195	312
Zm00001eb000700	716	821	742	644	846	584	676	692
Zm00001eb000710	176	300	193	250	256	203	172	301
Zm00001eb000720	144	136	157	176	201	158	186	283
Zm00001eb000740	31	77	37	71	74	37	57	107
Zm00001eb000750	111	155	179	143	164	126	171	270
Zm00001eb000760	0	35	8	0	28	40	33	47
Zm00001eb000770	3166	3766	2859	3305	3883	3094	3135	3191
Zm00001eb000780	1169	1102	1132	1131	1447	1132	983	1245
Zm00001eb000790	559	532	441	461	800	616	617	489
Zm00001eb000800	752	775	676	613	848	557	606	675
Zm00001eb000810	0	0	0	0	0	0	0	0
Zm00001eb000820	467	570	484	459	922	599	576	572
Zm00001eb000830	0	0	0	0	0	0	0	0
Zm00001eb000840	2	0	0	0	0	0	0	0
Zm00001eb000850	26	18	1	23	16	17	7	9
Zm00001eb000860	1278	1349	1318	1317	2094	1302	1219	1449
Zm00001eb000870	2684	2943	2790	2638	3969	2881	2935	3302
Zm00001eb000880	381	676	527	531	840	715	906	1101
Zm00001eb000890	24	26	28	34	39	36	35	21
Zm00001eb000900	0	19	68	4	327	229	267	197
Zm00001eb000910	125	185	91	191	135	91	88	120
Zm00001eb000920	999	1159	1032	991	1374	941	893	1214
Zm00001eb000930	126	167	86	206	162	124	109	109
Zm00001eb000940	0	0	0	0	0	0	0	0
Zm00001eb000960	52	78	44	31	42	83	22	44
Zm00001eb000970	683	845	749	693	898	693	817	1041
Zm00001eb000980	525	761	713	611	581	639	663	791
Zm00001eb000990	12	57	78	60	44	45	73	52
Zm00001eb001000	2162	2582	2549	2316	3142	2296	2341	2647
Zm00001eb001010	180	166	185	219	222	158	242	409
Zm00001eb001020	7	19	3	7	36	11	25	55
Zm00001eb001030	0	0	0	24	0	4	0	4
Zm00001eb001040	503	706	648	526	862	651	635	755
Zm00001eb001050	84	109	123	124	92	78	86	81
Zm00001eb001060	85	72	77	45	227	127	103	89
Zm00001eb001070	438	545	406	450	475	347	335	523
Zm00001eb001090	0	0	0	0	0	0	0	0
Zm00001eb001100	0	0	0	0	0	0	1	0
Zm00001eb001110	792	1026	767	987	946	892	773	852
Zm00001eb001120	179	121	125	118	167	131	197	110
Zm00001eb001130	550	820	639	558	714	628	505	611
Zm00001eb001140	7	0	2	0	21	12	0	0
Zm00001eb001150	0	0	0	0	0	0	0	0
Zm00001eb001160	0	2	1	0	5	8	0	16
Zm00001eb001170	73	112	52	95	139	112	110	130
Zm00001eb001180	114	252	169	133	268	178	255	259
Zm00001eb001190	0	0	4	12	2	7	0	3
Zm00001eb001200	137	96	113	74	234	146	135	87
Zm00001eb001210	6	0	0	0	3	0	0	0
Zm00001eb001220	3	0	0	4	3	2	0	0
Zm00001eb001230	0	0	0	0	0	6	4	0
Zm00001eb001240	449	617	541	511	446	443	429	520
Zm00001eb001250	0	0	0	0	0	0	0	0
Zm00001eb001260	509	540	669	601	638	555	568	694
Zm00001eb001270	419	598	401	418	441	398	562	434
Zm00001eb001280	8	0	0	0	0	0	0	0
Zm00001eb001290	564	624	553	549	811	505	540	640
Zm00001eb001300	0	0	0	0	0	0	0	0
Zm00001eb001310	0	0	0	0	0	0	0	0
Zm00001eb001320	0	0	0	0	0	0	0	0
Zm00001eb001330	0	0	0	0	0	0	0	0
Zm00001eb001340	43	53	79	49	56	13	66	111
Zm00001eb001350	277	420	369	303	338	344	348	290
Zm00001eb001360	384	434	379	481	690	497	552	511
Zm00001eb001370	140	122	154	165	193	163	184	186
Zm00001eb001400	1700	2128	1441	1656	1729	1377	1281	1555
Zm00001eb001410	0	0	0	0	0	0	0	0
Zm00001eb001420	0	0	0	0	0	0	0	9
Zm00001eb001430	2097	2573	2356	1876	3296	2166	1940	1997
Zm00001eb001440	60	82	37	98	84	43	29	93
